restaurant_code,restaurant_name,img_link,region,category,address,open_time,close_time,tel_no,tags,character
44,우리숯불국밥 본정,https://d12zq4w4guyljn.cloudfront.net/300_300_20250503180038_photo1_3c232e2fcc86.jpg,신대방삼거리역,국밥,"서울특별시 동작구 국사봉1길 12 ,1층(상도동, 진선빌딩)",,,,,
45,발리다포차 서울신대방삼거리점,https://d12zq4w4guyljn.cloudfront.net/300_300_20240818014714430_photo_75637b91f7d4.webp,신대방삼거리,"술집,포차",서울특별시 동작구 상도로 101 나동 2층,17:00,03:00,02-3280-2362,"술모임,생일파티","시끌벅적한,안주,저녁식사"
46,소문난포장마차,https://d12zq4w4guyljn.cloudfront.net/300_300_20250528105141_photo1_73d7bd3eeb1b.webp,신대방삼거리,포차,서울특별시 동작구 여의대방로24차길 48,,,02-813-2236,"술모임,낮술","서민적인,야장,야외자리"
47,숲,https://d12zq4w4guyljn.cloudfront.net/300_300_20250206041039659_photo_75637b91f7d4.jpg,신대방삼거리역,"이자카야,텐동",서울특별시 동작구 여의대방로22길 121 상가동1층 1431호,16:30,02:00,010-9883-3295,"술모임,혼술","가성비좋은,안주,저녁식사,바자리,다찌석,배달"
48,라밥 신대방삼거리점,https://d12zq4w4guyljn.cloudfront.net/300_300_20260406080730_photo1_3c232e2fcc86.webp,신대방삼거리역,"밥집,김밥",서울특별시 동작구 보라매로 106 1층,00:00,24:00,02-821-5400,,"깔끔한,다양한메뉴,점심식사,배달"
49,소곱창 클라쓰,https://d12zq4w4guyljn.cloudfront.net/300_300_20260318071259_photo1_3c232e2fcc86.webp,신대방삼거리역,"곱창,소곱창",서울특별시 동작구 여의대방로22길 132 1층 102호,14:00,00:00,0507-1381-8710,"낮술,모임장소","깔끔한,술안주,저녁식사"
50,고유부,https://d12zq4w4guyljn.cloudfront.net/300_300_20260404113820671_photo_06158889def5.webp,신대방삼거리,"묵은지,김밥",서울특별시 동작구 국사봉길 33 1층,08:00,21:00,0507-1410-7819,,"푸짐한,동네사람,아침식사,점심식사,저녁식사,배달"
51,뿌루밀리 신대방삼거리역점,https://d12zq4w4guyljn.cloudfront.net/300_300_20240306195629_photo1_3c232e2fcc86.webp,신대방삼거리역,"커피,테이크아웃카페",서울특별시 동작구 국사봉길 2 1층 뿌루밀리,08:00,22:00,02-3280-3330,간식,"캐주얼한,저렴한,점심식사,테이크아웃"
52,한솔웰빙쌈밥시골보리밥,https://d12zq4w4guyljn.cloudfront.net/300_300_20240619092503_photo1_904849d8beeb.webp,성대시장,"쌈밥,제육쌈밥",서울특별시 동작구 성대로2길 7,11:00,22:00,02-6081-5551,"생방송투데이,데이트,혼밥","푸짐한,점심맛집,점심식사,저녁식사,좌식"
53,오봉집 신대방삼거리역점,https://d12zq4w4guyljn.cloudfront.net/300_300_20260226110950_photo1_3c232e2fcc86.webp,신대방삼거리역,"낙지볶음,직화낙지볶음",서울특별시 동작구 대방동길 6 1층 108호,11:00,22:00,02-3280-0644,"회식장소,모임장소","불맛,매콤한,셀프바,배달"
